county_fips,county_name,population,adult_population,uninsured_places_pct,diabetes_pct,obesity_pct,high_blood_pressure_pct,smoking_pct,physical_inactivity_pct,poor_physical_health_pct,poor_mental_health_pct,depression_pct,svi_population,poverty_150_pct,unemployment_svi_pct,uninsured_svi_pct,disability_pct,single_parent_pct,no_vehicle_pct,no_internet_pct,svi_socioeconomic,svi_household,svi_minority_language,svi_housing_transportation,svi_overall,low_birth_weight_pct,uninsured_count,uninsured_chr_pct,primary_care_physicians_count,primary_care_physicians_rate,primary_care_physicians_ratio,mental_health_providers_count,mental_health_providers_rate,mental_health_providers_ratio,severe_housing_problems_pct,severe_housing_cost_burden_pct,children_in_poverty_pct,food_environment_index,broadband_access_pct,broadband_access_count,child_care_cost_burden_pct
28017,Chickasaw,"16,812","12,664",12.6,17.7,46.9,48.9,21.3,38.8,17.1,18.5,20.8,17024,35.5,3.1,10.6,17.9,11.3,9.5,31.4,0.6173,0.9506,0.6296,0.6296,0.7654,14,1888,14,10.0,59.0,1701:01:00,5.0,30.0,3373:01:00,15,13,26,6.4,73,4879,27
28133,Sunflower,"24,811","19,533",14.2,18.3,47.3,50.7,22.5,39.4,16.4,18.6,18.5,25867,41.8,11.1,11.6,14.7,14.0,9.3,31.9,0.8519,0.2963,0.9136,0.716,0.8272,15,2193,13,9.0,35.0,2822:01:00,9.0,37.0,2719:01:00,16,14,40,4.6,70,5672,28
28103,Noxubee,"9,990","7,455",11.7,19.5,46.5,52.4,21.0,38.4,16.8,18.1,19.0,10261,37.2,9.3,18.7,24.5,19.2,7.1,30.1,0.8765,0.9753,0.8642,0.4444,0.9136,13,1229,16,1.0,10.0,10123:1,22.0,222.0,451:01:00,16,12,37,6.7,69,2599,33
28007,Attala,"17,509","13,130",10.5,17.7,44.2,49.1,19.8,36.6,16.2,17.7,20.7,17842,36.4,7.2,9.9,18.8,8.6,8.1,22.9,0.5185,0.8025,0.5556,0.7037,0.6914,14,1929,14,9.0,51.0,1971:01:00,9.0,52.0,1929:01:00,16,13,28,5.7,79,5085,24
28081,Lee,"82,959","62,379",9.9,14.1,40.7,41.2,17.9,33.4,14.1,17.3,21.4,83343,21.8,5.6,11.2,14.0,8.4,4.9,18.9,0.1111,0.4691,0.321,0.5185,0.2346,13,8957,13,98.0,118.0,846:01:00,710.0,857.0,117:01:00,14,11,18,7.3,83,26376,18
28039,George,"25,206","18,519",10.4,13.6,40.8,42.6,18.5,30.9,15.0,17.7,23.3,24547,32.7,10.4,13.6,20.4,5.6,6.1,23.2,0.5309,0.4198,0.0247,0.5926,0.4198,8,2922,14,11.0,44.0,2251:01:00,14.0,55.0,1830:01:00,16,13,19,6.2,81,7402,19
28069,Kemper,"8,654","7,134",9.7,17.5,45.4,49.6,17.4,35.0,14.9,16.9,18.0,8980,33.1,14.1,14.8,21.6,11.4,4.9,29.7,0.8025,0.679,0.8025,0.7654,0.8642,14,741,13,1.0,11.0,8829:01:00,1.0,12.0,8584:01:00,20,12,36,4.9,72,2297,29
28047,Harrison,"211,044","161,954",9.1,13.9,34.4,42.4,17.8,29.1,14.1,17.2,24.0,208748,27.5,8.4,14.1,18.5,9.7,5.9,14.0,0.5679,0.6543,0.3827,0.5309,0.5679,11,24109,14,117.0,56.0,1790:01:00,558.0,265.0,377:01:00,16,14,20,5.7,87,70745,27
28111,Perry,"11,368","8,866",11.4,17.0,41.9,45.6,23.4,37.9,18.3,18.9,23.6,11511,35.2,6.3,14.1,29.5,8.1,4.5,25.0,0.3457,0.4691,0.0988,0.3457,0.321,8,1204,13,1.0,9.0,11571:1,10.0,88.0,1132:01:00,8,4,28,5.5,75,3407,34
28077,Lawrence,"11,713","8,918",11.7,17.9,43.4,48.4,22.2,37.4,17.8,18.6,22.4,11933,39.0,12.0,13.9,27.3,7.1,5.3,40.7,0.7407,0.9383,0.2963,0.0494,0.642,13,1237,13,2.0,17.0,5906:01:00,4.0,34.0,2935:01:00,18,10,26,6.0,69,2962,24
28145,Union,"28,125","21,138",9.9,13.6,40.1,41.4,16.6,29.9,14.2,16.4,21.2,27880,27.0,4.1,10.1,19.2,8.5,4.1,25.3,0.1605,0.7901,0.1111,0.3086,0.2593,10,3111,13,10.0,36.0,2795:01:00,12.0,42.0,2357:01:00,11,9,20,7.1,78,7759,22
28159,Winston,"17,543","13,689",11.0,17.7,44.5,50.2,20.0,34.8,16.5,17.1,20.2,17741,35.2,6.9,11.0,24.2,7.8,7.0,30.4,0.2963,0.6173,0.6173,0.358,0.3951,13,1817,14,5.0,28.0,3519:01:00,35.0,201.0,498:01:00,14,12,42,5.8,76,5379,25
28013,Calhoun,"12,781","9,957",12.4,17.5,41.7,47.2,22.1,38.0,18.1,18.3,22.6,13193,34.4,4.2,11.5,22.2,8.2,7.5,23.8,0.3827,0.9259,0.3086,0.5062,0.5926,13,1710,17,2.0,15.0,6509:01:00,2.0,16.0,6343:01:00,11,7,26,7.0,77,4407,26
28055,Issaquena,"1,273","1,175",16.1,15.7,44.4,45.8,21.6,36.4,15.3,18.5,17.9,1206,33.5,12.1,12.8,37.7,1.0,17.3,64.0,0.8395,0.1481,0.8395,1.0,0.9012,23,126,23,0.0,0.0,1280:00:00,,,,12,7,63,4.8,48,181,33
28105,Oktibbeha,"51,427","42,620",9.7,11.1,36.0,32.0,14.2,28.0,12.1,20.9,22.4,51388,39.8,6.8,7.9,10.8,7.2,4.9,19.0,0.4691,0.0247,0.5185,0.5432,0.2099,12,5094,13,21.0,41.0,2469:01:00,129.0,252.0,397:01:00,21,21,25,5.4,84,17825,24
28119,Quitman,"5,701","4,388",12.2,21.6,50.3,55.8,22.9,40.9,18.6,19.1,19.6,6113,47.8,12.2,15.8,17.0,7.9,14.6,36.6,0.9877,0.0864,0.8765,0.7778,0.8519,17,668,15,,,,2.0,36.0,2773:01:00,17,14,46,0.4,67,1769,35
28153,Wayne,"19,681","14,839",10.9,16.1,45.0,47.8,19.4,34.3,15.6,17.1,20.9,19760,35.1,8.7,18.2,18.9,9.4,6.5,21.5,0.7284,0.9136,0.4938,0.358,0.7037,14,2564,16,6.0,30.0,3285:01:00,13.0,66.0,1516:01:00,10,8,31,6.5,80,5965,27
28025,Clay,"18,380","14,241",12.4,18.8,42.0,49.5,20.5,36.6,16.7,18.2,19.9,18598,36.7,8.9,11.5,8.1,12.4,8.0,20.5,0.7654,0.3333,0.7407,0.1235,0.5062,17,1762,12,7.0,38.0,2648:01:00,46.0,253.0,396:01:00,12,12,31,6.8,81,6292,23
28125,Sharkey,"3,488","2,649",13.1,24.1,49.6,55.5,23.8,45.5,20.4,18.8,19.2,3910,49.1,12.8,20.3,21.6,11.6,15.1,41.3,0.9753,0.7037,0.8519,0.9136,0.9383,15,358,14,1.0,27.0,3663:01:00,1.0,30.0,3336:01:00,11,6,52,6.5,57,791,33
28095,Monroe,"33,577","26,021",10.1,16.6,40.8,45.3,19.7,33.4,16.1,17.1,21.7,34168,30.3,5.5,10.5,14.0,7.1,5.1,16.6,0.1235,0.2099,0.2469,0.037,0.0741,15,3588,14,17.0,50.0,1993:01:00,9.0,27.0,3734:01:00,9,7,24,7.4,84,11546,24
28031,Covington,"18,098","13,625",10.8,16.0,41.3,46.9,19.5,33.9,15.9,17.6,21.9,18323,35.1,5.8,9.9,18.2,8.6,6.5,37.6,0.321,0.2222,0.4321,0.2593,0.284,12,1893,13,8.0,44.0,2285:01:00,22.0,122.0,821:01:00,15,12,30,,62,4424,32
28089,Madison,"111,113","84,529",7.9,12.0,37.3,40.2,13.3,25.1,11.0,14.4,18.9,109257,16.6,4.2,7.4,10.7,6.9,3.7,8.8,0.0247,0.1358,0.5309,0.0741,0.0494,11,8899,10,142.0,129.0,773:01:00,292.0,260.0,385:01:00,12,10,13,8.2,92,39727,18
28061,Jasper,"16,167","12,480",9.2,18.3,43.6,51.8,18.4,34.8,15.5,16.2,18.8,16320,32.4,3.8,11.3,19.4,7.9,9.4,44.7,0.0494,0.284,0.7037,0.2963,0.1358,14,1445,12,3.0,18.0,5430:01:00,3.0,19.0,5338:01:00,10,6,28,7.3,60,3841,26
28005,Amite,"12,619","10,055",10.2,20.5,44.6,53.5,22.2,39.2,18.6,17.1,20.4,12683,38.0,7.5,11.4,27.6,8.6,7.6,31.2,0.284,0.8519,0.4568,0.3951,0.4691,11,1409,15,2.0,16.0,6319:01:00,2.0,16.0,6221:01:00,11,9,29,5.9,66,3860,26
28071,Lafayette,"57,615","47,293",9.4,10.9,37.6,35.6,14.0,26.0,12.3,18.8,23.3,56172,31.5,2.8,9.1,9.5,4.9,5.9,11.0,0.0864,0.0,0.2099,0.5926,0.0247,8,6099,14,40.0,70.0,1422:01:00,413.0,706.0,142:01:00,18,17,15,6.3,90,16677,16
28135,Tallahatchie,"12,035","9,630",13.4,17.8,44.8,49.4,22.3,38.4,16.6,18.0,18.7,12621,40.0,11.0,15.9,16.4,9.7,10.8,33.3,0.9136,0.1975,0.7778,0.7531,0.8148,14,1138,14,1.0,8.0,12366:1,6.0,51.0,1973:01:00,12,10,40,4.1,67,2886,29
28041,Greene,"13,552","11,055",10.6,13.8,42.6,42.9,20.1,31.9,14.2,17.4,20.6,13672,27.8,12.6,14.1,24.5,5.6,7.2,31.5,0.6543,0.0494,0.1975,0.8765,0.4444,7,1024,12,1.0,7.0,13630:1,8.0,59.0,1700:01:00,11,7,25,6.7,71,2727,23
28109,Pearl River,"57,261","44,356",9.4,13.8,39.9,42.9,17.4,30.5,14.4,16.7,22.2,56351,26.3,5.6,13.1,20.7,6.6,2.9,19.5,0.2099,0.5802,0.0617,0.0864,0.1481,10,6850,15,14.0,25.0,4036:01:00,36.0,62.0,1611:01:00,12,9,23,6.7,83,17867,22
28009,Benton,"7,550","5,979",9.4,17.0,43.9,46.6,18.4,33.9,16.0,16.6,21.0,7637,30.7,4.4,13.8,22.4,5.1,6.3,38.1,0.5062,0.6049,0.4074,0.2469,0.4321,9,1072,18,1.0,13.0,7646:01:00,4.0,54.0,1860:01:00,11,9,30,5.7,62,1879,33
28045,Hancock,"46,094","37,424",9.5,14.7,36.2,43.8,18.9,32.9,15.5,16.6,22.8,46010,24.3,6.2,10.3,18.4,6.3,3.8,15.4,0.0617,0.1111,0.037,0.1481,0.037,9,4443,12,20.0,43.0,2303:01:00,22.0,48.0,2098:01:00,14,11,20,5.9,85,16958,25
28117,Prentiss,"24,792","19,332",9.8,13.3,39.5,41.0,18.4,32.0,14.9,18.0,23.3,24945,31.2,5.0,8.8,18.0,9.2,5.9,21.2,0.0741,0.5062,0.0741,0.4074,0.1235,12,2486,13,8.0,32.0,3125:01:00,38.0,151.0,661:01:00,8,6,24,7.1,79,7367,24
28043,Grenada,"21,088","16,046",12.3,17.4,45.1,47.3,21.3,37.8,16.5,17.7,21.8,21474,34.9,4.1,12.8,19.9,7.4,6.9,23.8,0.5926,0.321,0.5802,0.4568,0.4815,12,2312,14,8.0,37.0,2671:01:00,13.0,62.0,1620:01:00,16,14,29,6.7,80,6789,25
28023,Clarke,"15,271","11,895",8.1,17.2,44.4,47.0,18.3,33.8,15.8,16.7,20.6,15553,32.1,5.6,14.0,26.2,10.5,6.8,24.1,0.4321,0.8395,0.358,0.1358,0.3827,12,1548,13,3.0,19.0,5140:01:00,8.0,53.0,1904:01:00,14,10,27,6.4,78,4853,25
28087,Lowndes,"57,603","43,961",9.7,15.5,43.6,44.5,17.4,33.2,13.8,16.6,19.6,58547,29.5,6.2,10.6,11.7,8.3,6.8,15.2,0.2222,0.1605,0.6049,0.3827,0.2222,14,5114,11,28.0,48.0,2077:01:00,169.0,295.0,339:01:00,15,14,27,6.3,85,19429,22
28033,DeSoto,"191,723","144,155",9.6,12.2,40.0,40.8,14.9,28.3,12.2,15.8,20.2,186214,17.1,4.4,8.9,11.9,8.2,3.7,9.1,0.037,0.2716,0.4198,0.0123,0.0617,10,17404,11,49.0,26.0,3850:01:00,277.0,143.0,698:01:00,13,10,12,7.4,92,63529,18
28151,Washington,"42,514","31,706",10.3,19.0,44.5,52.0,18.7,35.4,15.9,16.9,17.8,44604,43.2,9.5,13.4,24.6,10.0,12.4,42.8,0.9383,1.0,0.8889,0.7284,0.9877,14,4648,14,18.0,41.0,2427:01:00,77.0,184.0,545:01:00,21,19,47,4.8,55,9522,31
28097,Montgomery,"9,530","7,375",11.7,20.8,45.4,52.0,21.7,40.8,19.1,18.1,21.2,9803,42.9,7.8,9.7,21.2,7.7,8.6,28.1,0.7778,0.4938,0.5679,0.6667,0.7407,13,1137,16,5.0,51.0,1946:01:00,3.0,31.0,3200:01:00,21,17,33,6.1,73,2778,26
28107,Panola,"32,661","24,739",11.7,18.3,46.0,47.1,20.7,38.2,17.3,18.2,20.8,33157,37.1,9.5,13.6,17.7,9.8,5.3,28.1,0.7901,0.2593,0.679,0.321,0.6049,13,3718,14,7.0,21.0,4693:01:00,37.0,113.0,883:01:00,11,10,36,6.4,75,9313,26
28053,Humphreys,"7,333","5,516",14.3,23.7,50.6,55.1,24.8,45.6,20.7,19.5,20.2,7744,56.5,13.7,15.5,27.7,14.6,12.2,29.9,1.0,0.963,0.9383,0.4815,1.0,19,880,15,4.0,53.0,1888:01:00,,,,17,16,47,5.1,65,1959,39
28063,Jefferson,"7,087","5,529",10.8,22.1,51.7,54.5,20.9,39.6,17.6,17.6,18.0,7207,50.6,5.4,11.3,14.5,14.7,5.8,13.0,0.6914,0.5432,0.9877,0.8395,0.7901,15,757,15,2.0,28.0,3603:01:00,9.0,130.0,771:01:00,7,5,40,6.0,87,2069,33
28127,Simpson,"25,587","19,705",11.0,16.0,41.6,45.8,19.9,33.6,15.9,17.2,21.6,25889,27.8,6.0,12.7,20.0,6.4,4.4,26.9,0.4198,0.5185,0.3951,0.1111,0.2963,12,2857,14,8.0,31.0,3219:01:00,32.0,124.0,804:01:00,11,8,28,7.0,77,7379,29
28161,Yalobusha,"12,364","9,672",10.7,18.1,42.9,49.4,20.7,36.4,16.9,17.4,21.0,12499,35.2,5.0,13.2,18.6,6.7,6.1,28.5,0.3086,0.4444,0.4691,0.1852,0.3086,13,1103,12,1.0,8.0,12415:1,4.0,32.0,3097:01:00,12,8,28,6.5,76,3832,24
28001,Adams,"28,408","22,639",11.4,20.0,43.6,50.3,19.0,35.7,17.0,16.5,19.3,29425,41.5,7.1,12.7,15.1,10.1,8.6,18.7,0.7037,0.8272,0.7654,0.6543,0.8025,13,3158,15,22.0,77.0,1306:01:00,39.0,136.0,737:01:00,13,13,32,5.6,82,9452,27
28051,Holmes,"16,121","12,171",14.4,21.7,52.2,54.6,23.3,42.8,18.8,19.4,18.7,16848,50.3,8.8,12.1,32.1,14.0,15.1,37.0,0.8642,0.8765,0.9753,0.963,0.963,18,1649,14,9.0,55.0,1833:01:00,7.0,44.0,2254:01:00,22,20,46,4.2,66,3945,52
28123,Scott,"27,707","20,035",12.1,18.3,45.9,49.1,21.0,38.4,17.8,18.1,22.4,27943,40.7,6.0,13.3,19.6,13.8,8.1,25.2,0.6667,0.9877,0.642,0.4691,0.7531,13,3472,15,5.0,18.0,5520:01:00,15.0,55.0,1834:01:00,12,10,28,5.6,75,7206,25
28011,Bolivar,"29,370","22,209",8.9,17.6,45.2,50.6,16.3,33.1,14.6,16.2,18.4,30688,47.1,7.4,14.6,17.5,12.0,10.8,25.4,0.9012,0.7284,0.8148,0.9506,0.9259,14,3135,14,15.0,49.0,2021:01:00,27.0,93.0,1073:01:00,17,14,45,3.9,76,9063,30
28073,Lamar,"65,783","50,052",8.7,12.5,39.6,38.5,16.7,27.7,12.8,16.6,22.1,64425,24.1,5.8,12.7,14.5,8.2,4.5,11.4,0.1728,0.2346,0.1852,0.0617,0.0864,10,7190,13,81.0,124.0,807:01:00,39.0,59.0,1698:01:00,12,11,15,6.6,89,22199,24
28137,Tate,"28,296","21,977",10.4,14.3,39.9,43.2,18.0,30.6,14.1,17.1,21.0,28094,28.3,7.2,12.9,15.5,8.3,4.0,20.0,0.5802,0.1728,0.2716,0.8025,0.5185,10,2977,13,7.0,25.0,4033:01:00,13.0,46.0,2174:01:00,14,10,20,6.3,84,8970,25
28115,Pontotoc,"31,389","23,223",9.9,13.1,43.2,41.3,17.2,29.1,13.8,16.8,21.8,31202,28.1,2.9,12.0,18.5,5.5,3.3,27.4,0.1852,0.5679,0.1481,0.2099,0.1728,10,3953,15,6.0,19.0,5241:01:00,13.0,41.0,2426:01:00,9,5,19,6.7,73,8582,23
28143,Tunica,"9,458","6,844",14.5,19.8,50.2,50.7,24.0,42.3,18.4,20.3,20.5,9787,48.7,12.2,13.1,10.5,12.8,9.5,16.0,0.8889,0.2469,0.963,0.9383,0.8765,15,934,12,1.0,10.0,9696:01:00,3.0,32.0,3078:01:00,33,24,42,6.4,84,3011,39
28085,Lincoln,"34,717","26,769",9.6,16.0,43.1,44.9,20.4,34.0,15.7,18.0,21.4,34855,30.9,4.3,13.9,14.9,6.0,4.4,19.3,0.1975,0.0741,0.2222,0.5802,0.1111,12,3896,14,14.0,40.0,2496:01:00,51.0,147.0,680:01:00,16,11,24,6.6,83,10752,23
28065,Jefferson Davis,"11,088","8,875",9.2,20.2,43.3,52.6,19.3,37.6,16.6,16.3,19.0,11291,37.7,9.2,12.7,21.3,6.8,7.0,29.4,0.716,0.358,0.7531,0.3333,0.5556,15,1111,14,3.0,27.0,3711:01:00,14.0,128.0,784:01:00,18,14,38,6.5,75,3301,31
