county_fips,county_name,svi_population,poverty_150_pct,unemployment_svi_pct,uninsured_svi_pct,disability_pct,single_parent_pct,no_vehicle_pct,no_internet_pct,svi_socioeconomic,svi_household,svi_minority_language,svi_housing_transportation,svi_overall
28001,Adams County,29425,41.5,7.1,12.7,15.1,10.1,8.6,18.7,0.7037,0.8272,0.7654,0.6543,0.8025
28003,Alcorn County,34717,32.2,6.4,13.6,22.7,6.1,7.7,26.4,0.642,0.4321,0.0494,0.679,0.5432
28005,Amite County,12683,38.0,7.5,11.4,27.6,8.6,7.6,31.2,0.284,0.8519,0.4568,0.3951,0.4691
28007,Attala County,17842,36.4,7.2,9.9,18.8,8.6,8.1,22.9,0.5185,0.8025,0.5556,0.7037,0.6914
28009,Benton County,7637,30.7,4.4,13.8,22.4,5.1,6.3,38.1,0.5062,0.6049,0.4074,0.2469,0.4321
28011,Bolivar County,30688,47.1,7.4,14.6,17.5,12.0,10.8,25.4,0.9012,0.7284,0.8148,0.9506,0.9259
28013,Calhoun County,13193,34.4,4.2,11.5,22.2,8.2,7.5,23.8,0.3827,0.9259,0.3086,0.5062,0.5926
28015,Carroll County,9930,36.1,6.0,7.5,21.0,5.3,5.1,37.6,0.3333,0.1111,0.3457,0.4321,0.2469
28017,Chickasaw County,17024,35.5,3.1,10.6,17.9,11.3,9.5,31.4,0.6173,0.9506,0.6296,0.6296,0.7654
28019,Choctaw County,8208,31.4,7.3,12.4,25.2,6.7,5.8,20.3,0.3457,0.3951,0.2346,0.0864,0.1975
28021,Claiborne County,9044,49.0,9.0,19.5,12.3,3.9,12.0,25.6,0.8272,0.0123,1.0,0.9753,0.7284
28023,Clarke County,15553,32.1,5.6,14.0,26.2,10.5,6.8,24.1,0.4321,0.8395,0.358,0.1358,0.3827
28025,Clay County,18598,36.7,8.9,11.5,8.1,12.4,8.0,20.5,0.7654,0.3333,0.7407,0.1235,0.5062
28027,Coahoma County,21264,49.3,10.8,13.4,14.7,13.4,12.0,26.1,0.9259,0.8642,0.9506,0.8272,0.9506
28029,Copiah County,28210,35.4,5.2,14.4,15.2,6.7,7.4,29.0,0.4568,0.0988,0.716,0.6914,0.4568
